Size,Orien,Match,Probe,Target,correct_response
F,F,F,The lighthouse was in the entrance of the harbor.,STI_EXP02/Filler/submarine.jpg,f
F,F,F,The table lamp was in the shop.,STI_EXP02/Filler/dentalfloss03b.jpg,f
F,F,F,The castle was on the hill.,STI_EXP02/Filler/desk02.jpg,f
F,F,F,The cargo ship was navigating to the harbor.,STI_EXP02/Filler/dryingmachine02.jpg,f
F,F,F,The motorcycle was in the parking lot.,STI_EXP02/Filler/earring01.jpg,f
F,F,F,The ball was on the billiard table.,STI_EXP02/Filler/faucet.jpg,f
F,F,F,The calculator was on the desk.,STI_EXP02/Filler/ferry.jpg,f
F,F,F,The Swiss army knife was on the table.,STI_EXP02/Filler/filmroll.jpg,f
F,F,F,The alarm clock was on the bed.,STI_EXP02/Filler/flower.jpg,f
F,F,F,The flashlight was in the suitcase.,STI_EXP02/Filler/freighttruck.jpg,f
F,F,F,The Rubik's Cube was on the shelf.,STI_EXP02/Filler/microwave.jpg,f
F,F,F,The computer monitor was on the desk.,STI_EXP02/Filler/fryingpan02a.jpg,f
F,F,F,The dartboard was on the wall.,STI_EXP02/Filler/hangar.jpg,f
F,F,F,The cup was on the kitchen table.,STI_EXP02/Filler/kiwi03.jpg,f
F,F,F,The shrimp was in the aquarium.,STI_EXP02/Filler/laptopopen.jpg,f
F,F,F,The tooth was in the iron dish.,STI_EXP02/Filler/lighthouse.jpg,f
F,F,F,The telephone was on the short table.,STI_EXP02/Filler/Generic_High_Speed_Train_01.jpg,f
F,F,F,The folder was on the shelf.,STI_EXP02/Filler/pillow.jpg,f
F,F,F,The balloon was in the kid's hand.,STI_EXP02/Filler/pill.jpg,f
F,F,F,The lamp was on the wall.,STI_EXP02/Filler/ribbon04.jpg,f
F,F,F,The basketball hoop was beside the field.,STI_EXP02/Filler/rubikcube.jpg,f
F,F,F,The book shelf was in the room.,STI_EXP02/Filler/sailboat.jpg,f
F,F,F,The fan was settled under the ceiling.,STI_EXP02/Filler/scrubbingbrush05b.jpg,f
F,F,F,The chair was in the office.,STI_EXP02/Filler/solderingiron.jpg,f
F,F,F,The printer was in the right of the table.,STI_EXP02/Filler/spatula04.jpg,f
F,F,F,The table tennis was in the room.,STI_EXP02/Filler/staple.jpg,f
F,F,F,The dog house was beside the door.,STI_EXP02/Filler/strap.jpg,f
F,F,F,The umbrella was on the beach.,STI_EXP02/Filler/tv.jpg,f
F,F,F,The cabbage was in the shelf.,STI_EXP02/Filler/umbrellaopen.jpg,f
F,F,F,The hammer was on the desk table.,STI_EXP02/Filler/uprightpiano01.jpg,f
F,F,F,The toy dinosaur stood on the table.,STI_EXP02/Filler/usbkey.jpg,f
F,F,F,The playing card was in the hand of the magician.,STI_EXP02/Filler/weight01.jpg,f
F,F,F,The stopping watch was in the hand of the coach.,STI_EXP02/Filler/wheel01.jpg,f
F,F,F,The trash can was on the side way.,STI_EXP02/Filler/woodboard.jpg,f
