Size,Orien,Match,Probe,Target,correct_response,Task
S,H,Y,De zalf lag in de lade.,STI/SMALL/gluetube.jpg,j,V
S,H,N,De hoed hing aan de muur.,STI/SMALL/hat.jpg,j,V
S,H,N,De tandenborstel stond in de beker.,STI/SMALL/toothbrush_H.jpg,j,V
S,H,N,De fles stond op de plank.,STI/SMALL/beerbottle.jpg,j,V
S,H,N,De spijkerbroek hing in de etalage.,STI/SMALL/jeans01.jpg,j,V
S,H,N,De graanschil was net geplukt door de boer.,STI/SMALL/cornhusk.jpg,j,V
S,H,N,Het ijslepel stond in de waterbak.,STI/SMALL/measuringspoon.jpg,j,V
S,H,N,De handschoen hing aan het rek.,STI/SMALL/glove_H.jpg,j,V
S,H,N,De spijker werd in de vloer genageld.,STI/SMALL/nail.jpg,j,V
S,V,Y,De fotolijst stond op het bureau.,STI/SMALL/pictureframe04_r.jpg,j,V
S,V,Y,Het scheermes stond in de beker.,STI/SMALL/razor01_r.jpg,j,V
S,V,Y,De schroevendraaier werd gebruikt door de werknemer.,STI/SMALL/screwdriver04b_r.jpg,j,V
S,V,Y,De zeeschelp werd opgepakt door de toerist.,STI/SMALL/seashell01_r.jpg,j,V
S,V,Y,De schoen stond tegen de muur.,STI/SMALL/shoe_r.jpg,j,V
S,V,Y,De nietmachine zat in het etui.,STI/SMALL/stapler03a_r.jpg,j,V
S,V,Y,De buffet tangen stonden in de pot.,STI/SMALL/tongs01b_r.jpg,j,V
S,V,Y,De plastic fles stond op de koelkast.,STI/SMALL/waterbottle01b_r.jpg,j,V
F,F,F,De badjas hing in de kledingkast.,STI/Filler/spatula04.jpg,f,V
F,F,F,De grote raffinaderij lag naast de weg.,STI/Filler/castletower.jpg,f,V
F,F,F,De film zat in de camera.,STI/Filler/candle08b.jpg,f,V
F,F,F,De capsule lag op de tafel.,STI/Filler/staple.jpg,f,V
F,F,F,De zaag lag in de gereedschapskist.,STI/Filler/034-biberon_feeding-bottle.jpg,f,V
F,F,F,De hamburger lag op het bord.,STI/Filler/earring01.jpg,f,V
F,F,F,De kaars stond op de eettafel.,STI/Filler/041-bonbon_candy.jpg,f,V
F,F,F,De cassette zat in de recorder.,STI/Filler/166-klaxon_horn.jpg,f,V
F,F,F,De appel lag op de tafel.,STI/Filler/075-carte_playing-card.jpg,f,V
F,F,F,De oorring lag naast de doos.,STI/Filler/078-cassette_cassette.jpg,f,V
F,F,F,De tarwe was nog op het tarweveld.,STI/Filler/089-chronometre_stop-watch.jpg,f,V
F,F,F,De reddingsboei was op het dek.,STI/Filler/294-ventilateur_fan.jpg,f,V
F,F,F,De trein reed over het spoor.,STI/Filler/293-usine_factory.jpg,f,V
F,F,F,Het slagschip voer de zee op.,STI/Filler/240-pont_bridge.jpg,f,V
F,F,F,Het bed bevond zich in de kamer.,STI/Filler/airhockeytable.jpg,f,V
F,F,F,De helikopter was geland op baan.,STI/Filler/ferry.jpg,f,V
F,F,F,De politieauto reed over de weg.,STI/Filler/282-tractopelle_digger.jpg,f,V
F,F,F,Het vlot bewoog naar de pier.,STI/Filler/cow.jpg,f,V
F,F,F,De koe werd gehouden op de veeboerderij.,STI/Filler/boxtrailer.jpg,f,V
F,F,F,De kerk stond op het plein.,STI/Filler/093-chapiteau_big-top.jpg,f,V
F,F,F,De hut stond in het bos.,STI/Filler/barn.jpg,f,V
F,F,F,Het oorlogsschip voer naar de haven.,STI/Filler/freighttruck.jpg,f,V
F,F,F,De locomotief reed door de tunnel.,STI/Filler/desk02.jpg,f,V
F,F,F,De kooi stond in de tuin.,STI/Filler/025-barre_bar.jpg,f,V
F,F,F,De tent stond op de grond.,STI/Filler/castle.jpg,f,V
F,F,F,De SUV reed snel op de weg.,STI/Filler/027-batterie_drum-set.jpg,f,V
F,F,F,De ambulance reed op de weg.,STI/Filler/sailboat.jpg,f,V
F,F,F,De droger was in de badkamer.,STI/Filler/260-sapin_fir-tree.jpg,f,V
F,F,F,De truck stond in de fabriek.,STI/Filler/071-bateau_boat.jpg,f,V
F,F,F,De loods stond naast het vliegtuig.,STI/Filler/church.jpg,f,V
F,F,F,De vuurtoren stond bij de ingang van de haven.,STI/Filler/submarine.jpg,f,V
F,F,F,De tafellamp was in de winkel.,STI/Filler/dentalfloss03b.jpg,f,V
F,F,F,Het kasteel stond op de heuvel.,STI/Filler/lighthouse.jpg,f,V
F,F,F,Het vrachtschip navigeerde naar de haven.,STI/Filler/Generic_High_Speed_Train_01.jpg,f,V
F,F,F, De motorfiets stond op de parkeerplaats.,STI/Filler/035-bibliotheque_book-shelves.jpg,f,V
F,F,F, De bal lag op de biljarttafel.,STI/Filler/faucet.jpg,f,V
F,F,F,De rekenmachine lag op het bureau.,STI/Filler/strap.jpg,f,V
F,F,F,Het Zwitserse zakmes lag op de tafel.,STI/Filler/filmroll.jpg,f,V
F,F,F, De wekker lag op het bed.,STI/Filler/flower.jpg,f,V
F,F,F,De zaklamp lag in de koffer.,STI/Filler/scrubbingbrush05b.jpg,f,V
F,F,F,De Rubiks kubus lag op de plank.,STI/Filler/solderingiron.jpg,f,V
F,F,F,De monitor stond op het bureau.,STI/Filler/fryingpan02a.jpg,f,V
F,F,F,Het dartboard hing aan de muur.,STI/Filler/mirror.jpg,f,V
F,F,F,Het kopje stond op de keukentafel.,STI/Filler/kiwi03.jpg,f,V
F,F,F,De garnaal zat in het aquarium.,STI/Filler/laptopopen.jpg,f,V
F,F,F,De ring lag in de ijzeren schotel.,STI/Filler/156-hot-dog_hot-dog.jpg,f,V
F,F,F,De telefoon stond op de bijzetttafel.,STI/Filler/briefcaseclosed.jpg,f,V
F,F,F,De map stond op de plank.,STI/Filler/pillow.jpg,f,V
F,F,F,De ballon was in de hand van het kind.,STI/Filler/pill.jpg,f,V
F,F,F,De lamp hing aan de muur.,STI/Filler/ribbon04.jpg,f,V
F,F,F,De basketbalkorf stond op het plein.,STI/Filler/uprightpiano01.jpg,f,V
F,F,F,De boekenplank was in de kamer.,STI/Filler/briefcaseclosed.jpg,f,V
F,F,F,De ventilator was bevestigd aan het plafond.,STI/Filler/chair.jpg,f,V
F,F,F,De stoel was in het kantoor.,STI/Filler/microwave.jpg,f,V
F,F,F,De printer stond aan de rechterkant van de tafel.,STI/Filler/cooler01.jpg,f,V
F,F,F,De tafeltennistafel was in de kamer.,STI/Filler/020-baignoire_bathtub.jpg,f,V
F,F,F,De hondenhuis stond naast de deur.,STI/Filler/ironbarrel.jpg,f,V
F,F,F,De paraplu lag op het strand.,STI/Filler/tv.jpg,f,V
F,F,F,De kool lag op de plank.,STI/Filler/umbrellaopen.jpg,f,V
F,F,F,De hamer was op het bureau.,STI/Filler/rubikcube.jpg,f,V
F,F,F,De speelgoeddinosaurus stond op de tafel.,STI/Filler/usbkey.jpg,f,V
F,F,F,De speelkaart was in de handen van de goochelaar.,STI/Filler/weight01.jpg,f,V
F,F,F,De stopwatch was in de handen van de coach.,STI/Filler/wheel01.jpg,f,V
F,F,F,De vuilnisbak bevond zich aan de kant van de weg.,STI/Filler/woodboard.jpg,f,V
